Datum;Variante;Wiederholung;TGKnolle;TGBlatt
2004-11-11;100;1;0.01;0.20
2004-11-11;100;2;0.02;0.26
2004-11-11;100;3;0.03;0.25
2004-11-11;100;4;0.05;0.24
2004-11-11;75;1;0.04;0.21
2004-11-11;75;2;0.04;0.24
2004-11-11;75;3;0.03;0.27
2004-11-11;75;4;;0.20
2004-11-11;50;1;0.05;0.21
2004-11-11;50;2;0.01;0.23
2004-11-11;50;3;0.08;0.23
2004-11-11;50;4;0.03;0.28
2004-11-25;100;1;0.13;0.88
2004-11-25;100;2;0.29;0.93
2004-11-25;100;3;0.20;0.96
2004-11-25;100;4;0.21;1.04
2004-11-25;75;1;0.14;0.88
2004-11-25;75;2;0.19;1.05
2004-11-25;75;3;0.21;0.94
2004-11-25;75;4;0.22;1.07
2004-11-25;50;1;0.12;0.86
2004-11-25;50;2;0.11;0.87
2004-11-25;50;3;0.15;0.86
2004-11-25;50;4;0.16;0.93
2004-12-09;100;1;0.65;1.39
2004-12-09;100;2;0.97;1.35
2004-12-09;100;3;1.21;1.50
2004-12-09;100;4;1.21;1.41
2004-12-09;75;1;0.59;1.32
2004-12-09;75;2;0.88;1.34
2004-12-09;75;3;1.08;1.22
2004-12-09;75;4;1.28;1.37
2004-12-09;50;1;1.04;1.34
2004-12-09;50;2;0.79;1.48
2004-12-09;50;3;0.68;1.34
2004-12-09;50;4;0.96;1.41
